date;product_id;customer_id;quantity;price;text
2023.10.10;;C0010;1;2547;P039INV?? missing-line / batch exp??
2025.07.11;;C0030;1;1119;P036storage temp?? 22C??
2021.09.13;;C0012;282;2405;P001batch-check FAIL
2021.01.02;;C0007;14;688;P043reorder_flag=1 ???
2021.02.20;;C0015;259;1050;P035INV?? missing-line / batch exp??
2024.07.23;;C0025;1;1119;P034reorder_flag=1 ???
2023.04.28;;C0006;2;2547;P014exp_date?? unclear ###
2023.01.28;;C0005;259;1117;P003WH-02 stock_flag=LOW
2022.08.12;;C0022;1;1119;P018invoice mismatch qty??
2023.05.23;;C0014;2;2547;P039invoice mismatch qty??
2025.01.15;;C0030;259;2757,2;P020shipment_delay?? carrier=??
2024.11.12;;C0001;278;1218;P048storage temp?? 22C??
2021.11.27;;C0022;235;1050;P037promo RX?? code invalid
2024.09.10;;C0017;198;1254;P045reorder_flag=1 ???
2021.06.11;;C0020;1;1119;P013WH-02 stock_flag=LOW
2021.08.05;;C0029;176;2405;P001storage temp?? 22C??
2025.06.09;;C0001;1;2800;P009storage temp?? 22C??
2025.07.05;;C0019;1;1119;P047batch-check FAIL
2023.12.07;;C0025;2;2547;P015shipment_delay?? carrier=??
2022.07.26;;C0017;1;1119;P049invoice mismatch qty??
2021.06.11;;C0013;1;1119;P042promo RX?? code invalid
2022.08.20;;C0010;1;1119;P044LOT#?? unstable temp log
2026.04.27;;C0008;1;1119;P036INV?? missing-line / batch exp??
2021.03.02;;C0011;13;798;P046storage temp?? 22C??
2026.05.07;;C0006;1;1119;P036reorder_flag=1 ???
2021.03.18;;C0007;198;1254;P023LOT#?? unstable temp log
2021.02.13;;C0022;5;2405;P001invoice mismatch qty??
2022.01.01;;C0004;225;1060;P034batch-check FAIL
2025.03.03;;C0015;155;1254;P020WH-02 stock_flag=LOW
2022.02.13;;C0013;197;2405;P001INV?? missing-line / batch exp??
2022.07.02;;C0004;1;1119;P013storage temp?? 22C??
2022.09.17;;C0019;255;2405;P001WH-02 stock_flag=LOW
2024.09.27;;C0015;24;1254;P050promo RX?? code invalid
2021.05.30;;C0011;290;2405;P001promo RX?? code invalid
2023.10.16;;C0007;2;2547;P033storage temp?? 22C??
2026.06.09;;C0003;1;1119;P042invoice mismatch qty??
2024.05.02;;C0002;1;1119;P003batch-check FAIL
2023.04.05;;C0026;2;2547;P021promo RX?? code invalid
2022.02.20;;C0021;208;2405;P001WH-02 stock_flag=LOW
2021.01.04;;C0019;9;688;P043storage temp?? 22C??
2021.11.22;;C0022;235;1050;P036reorder_flag=1 ???
2021.01.05;;C0005;9;690;P030invoice mismatch qty??
2025.02.04;;C0025;2;2800;P010LOT#?? unstable temp log
2023.07.07;;C0001;1;1119;P042invoice mismatch qty??
2021.03.09;;C0024;108;715;P030shipment_delay?? carrier=??
2023.06.18;;C0030;2;1119;P045reorder_flag=1 ???
2025.08.29;;C0030;2;1119;P044reorder_flag=1 ???
